Version,Learning rate,Keep rate,num_epochs,n_train,delta_theta,number of simulations,fiducial θ,differentiation fraction,input shape,number of summaries,calculate MLE,prebuild,save file,wv,bb,activation,α,hidden layers,flatten,Final detF train,Final detF test
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
1,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model1,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.73,0.73
2,1e-06,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model2,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.73,0.73
3,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model3,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.16,0.16
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,1.15,1.15
4,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model4,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,8.99,8.99
5,1e-10,0.5,1000,1,[0.11],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[100],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.0,0.0
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,,
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,13877.79,13877.79
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,0.54,0.54
5,1e-10,0.5,1000,1,[0.002],1000,[0.211],0.05,[1000],1,True,True,Models/data/model5,0.0,0.1,leaky_relu,0.01,"[1024, 512, 256, 128, 128]",False,615.21,617.1
